题目,答案
"名词复数变化规则中，一般情况是在名词后加什么？","加 -s。"
"以s, x, ch, sh结尾的名词，其复数形式如何构成？","在词尾加 -es。"
"以“辅音字母+y”结尾的名词，其复数形式如何变化？","变y为i，再加 -es。"
"以f或fe结尾的名词，其复数形式通常如何变化？","变f或fe为v，再加 -es。"
"写出 “man” 和 “woman” 的复数形式。","men, women。"
"写出 “child” 和 “tooth” 的复数形式。","children, teeth。"
"写出 “sheep” 和 “Chinese” 的复数形式。","sheep, Chinese (单复数同形)。"
"如何表示单数名词的所有格？","在名词后加 's。"
"如何表示以s结尾的复数名词的所有格？","在名词后只加 ' (撇号)。"
"如何表示不以s结尾的复数名词（如children）的所有格？","在名词后加 's。"
"当A和B共同拥有某物时，所有格如何表示？例如“Tom和Jerry的房间”。","A and B's。例如：Tom and Jerry's room。"
"不定冠词 “a” 和 “an” 的基本使用区别是什么？","a 用于辅音音素开头的单词前，an 用于元音音素开头的单词前。"
"单词 “university” 和 “hour” 前应分别使用哪个不定冠词？","a university, an hour。"
"定冠词 “the” 用于表示双方已知或上文_____提到的人或物。","第二次"
"在序数词和形容词的_____级前通常要使用定冠词the。","最高"
"在西洋乐器名词前，表示演奏时通常使用哪个冠词？","定冠词 the。"
"在姓氏的复数形式前加the表示什么？","表示“某一家人”或“某夫妇”。"
"在哪些情况下通常使用零冠词（即不加冠词）？（举出三类）","球类棋类运动、学科名称、一日三餐前；星期、月份、季节前；by+交通工具。"
"如何用英语表示“20世纪90年代”？","in the 1990s。"
"hundred/thousand/million等词表示模糊数字时，词尾有什么特点？","词尾有s，后面跟of。例如：hundreds of people。"
"英语中分数的表示法是什么规则？","分子用基数词，分母用序数词。分子大于1时，分母序数词加s。"
"“四分之三”用英语怎么说？","three fourths。"
"“基数词-单数可数名词-形容词”构成复合形容词作定语，例如“一个九岁的孩子”。","a nine-year-old child。"
"_____...and... 这个连词词组表示什么意思？","既...又...。"
"not only..._____... 这个连词词组表示什么意思？","but also (不但...而且...)"
"neither...nor... 和 either...or... 分别表示什么意思？","neither...nor... (既不...也不...)；either...or... (不是...就是.../或者...或者...)"
"so...that 和 such...that 的区别是什么？","so后接形容词或副词，such后接名词短语。"
"although和but能否在同一个句子中连用？","不能，两者只用其一。"
"not only...but also...连接主语时，谓语动词遵循什么原则？","就近原则（谓语动词与离它近的主语保持一致）。"
"表示“在某个世纪、年代、年份、季节、月份”时，应用哪个时间介词？","in。"
"表示“在具体的某一天或星期几”时，应用哪个时间介词？","on。"
"表示“在某个具体时刻”时，应用哪个时间介词？","at。"
"介词for和since在与完成时连用时，后面分别跟什么样的时间？","for后跟时间段，since后跟过去的时间点或过去时的从句。"
"介词by和until/till在表示时间上的区别是什么？","by表示“到...以前为止”（用于瞬间性动词），until/till表示“直到...才”（用于持续性动词）。"
